name,url,brief_description,features,pros,cons,user_reviews,pricing,rating,category,source_site
The #1 Professional Network for AI Agents,https://agent.ai#main,"Where professionals build, find, and use AI agents that get real work done.",25.2K tasks completed; 598.9K tasks completed; 526 tasks completed; 13K tasks completed; 10.3K tasks completed,,,,Company Research AgentBy @dharmesh1 credit per task25.2K tasks completed4.28 (2728 reviews)Go; 1 credit per task; Flux Image GeneratorBy @dharmesh1 credit per task598.9K tasks completed4.26 (21883 reviews)Go,4.28 (2728 reviews); 4.26 (21883 reviews); 4.38 (8 reviews),,Agent.ai
Agent Network,https://agent.ai/agents,"Where professionals build, find, and use AI agents that get real work done.",25.2K tasks completed; 598.9K tasks completed; 526 tasks completed; 13K tasks completed; 10.3K tasks completed,,,,Company Research AgentBy @dharmesh1 credit per task25.2K tasks completed4.28 (2728 reviews)Go; 1 credit per task; Flux Image GeneratorBy @dharmesh1 credit per task598.9K tasks completed4.26 (21883 reviews)Go,4.28 (2728 reviews); 4.26 (21883 reviews); 4.38 (8 reviews),,Agent.ai
The Agent.ai Blog,https://blog.agent.ai,Education and insights that make agentic AI accessible to everyone.,There are no suggestions because the search field is empty.,,,,,,,Agent.ai
Welcome,https://docs.agent.ai,"Agent.AI is the #1 Professional Network For A.I. Agents (also, the only professional network for A.I. agents).
It is a marketplace and professional network for AI agents and the people who love them.
Here, you can discover, connect with and hire AI agents to do useful things.",Support; Platform; Platform; Welcome; AI Agents Explained,,,,Marketplace Credits,Use GenAI (LLM),,Agent.ai
Blockchains Courses,https://metaschool.so/courses,"Explore and practice with blockchain courses on Ethereum, Polygon, Solana, Starknet, Flow, Stacks and more. Join the Metaschool dev community today!",,An extensive learning track to help you learn and excel in Aptos Move; An extensive learning track for developers to get started in Sui Move; Hands-on learning track that helps you master Fuel Network,"Have you ever felt limited when a project required you to work with Python but you could code in J.....; Basic understanding of JavaScript, HTML, CSS, and JavaScript, as well as some basic web development concepts like routing and state management.
Basics of how blockchains work, such as consensus mechanisms, mining, and smart contracts. You should also be familiar with some popular blockchain platforms, such as Ethereum and Solana.
Solidity is the most popular programming language for writing smart contracts. If you want to develop web3 applications, you should learn Solidity.
Problem-solving skills as you will need to be able to debug code, troubleshoot problems, and come up with creative solutions.",,"NFTs are not entirely dead. If anything, the NFT market will be worth $231 billion by 2030, as per.....",,,Metaschool
Introduction to Ocean Protocol,https://metaschool.so/courses/introduction-to-ocean-protocol,"A theoretical course by Ocean Protocol experts that teaches you all about the Ocean Protocol, its history, important dApps, architecture and features. Enroll now.",,Gain hands-on experience with Ocean Protocol. Learn to set up your development e...,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build Decentralized Music Streaming and Tipping Platform on ZKsync,https://metaschool.so/courses/build-music-streaming-dapp-zksync,Build a decentralized music streaming Dapp on ZKsync and use paymaster to enable the account abstraction,,,,,"The average salary for a Solidity developer is over $150,000 p/a.",,,Metaschool
Build Decentralized Social Media DApp on Core,https://metaschool.so/courses/build-decentralized-social-media-dapp-on-core,Master Core blockchain: Build a fully functional social media DApp using Solidity. Perfect for developers seeking hands-on Web3 experience.,,,,,A $200M program by Core and its partners,,,Metaschool
Build Documents Management DApp on Aptos,https://metaschool.so/courses/build-documents-dapp-on-aptos,"Practical Aptos project: Learn to build, manage, and deploy a Documents Management dApp. Essential for developers entering the Aptos ecosystem.",,"Practical Aptos project: Learn to build, manage, and deploy a Documents Management dApp. Essential for developers entering the Aptos ecosystem.; Real-world problem-solving, cutting-edge tech, and practical skills all in one. Perfect for building trust in dApps!; I've really enjoyed my experience with Metaschool and have gotten a lot out of it. The content is engaging and informative, making it an effective learning platform. Highly recommend!",,,"Secure upto $25,000 in grant funding for your Project",,,Metaschool
Battle Royale – Building a 1v1 Card Battle Dapp on Core,https://metaschool.so/courses/build-card-battle-dapp-on-core,Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.,,Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.; Learn to build a 1v1 card battle Dapp on the Core blockchain. Master Solidity while building your first game.,,,A $200M program by Core and its partners,,,Metaschool
Building on MANTRA Chain,https://metaschool.so/courses/building-on-mantra-chain,"Master CosmWasm development for Mantra Chain in this comprehensive course. Learn smart contract deployment, language fundamentals, and build your first project using CosmWasm and Rust.",,"Master CosmWasm development for Mantra Chain in this comprehensive course. Learn smart contract deployment, language fundamentals, and build your first project using CosmWasm and Rust.; Can be used to build applications in various domains like machine learning, finance, etc.; Learn to build the future of finance on MANTRA Chain, a cutting-edge blockchain ...",,,Free,,,Metaschool
Launching a 10K NFT collection on Core,https://metaschool.so/courses/launch-10k-nft-collection-on-core,Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.; Learn to build a 10K NFT collection on the Core blockchain. Master Solidity while gaining hands-on experience with dApp development.,,,A $200M program by Core and its partners,,,Metaschool
